,Make,Model,price,Doors,Riding Capacity,Overall Length (mm),Overall Width (mm),Overall Height (mm),Wheelbase (mm),Weight (kg),Maximum Power (kW),Displacement (cc),Bore (mm),Stroke (mm),Fuel Tank Equipment (L),year of launch,displacement-based class
611,Daihatsu,Daihatsu Charade,1019000,5,5,3680,1615,1385,2340,800,69,1295,760,714,40,1989,Subcompact
612,Daihatsu,Daihatsu Charade Social,1263000,4,5,4085,1620,1410,2395,940,71,1498,760,826,40,1995,Subcompact
613,Daihatsu,Daihatsu Copen,1740900,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2007,mini
614,Daihatsu,Daihatsu Charade,819000,3,5,3680,1600,1385,2340,740,40,993,760,730,37,1990,mini
615,Daihatsu,Daihatsu Charade,940000,3,5,3680,1615,1385,2340,770,40,993,760,730,37,1991,mini
616,Daihatsu,Daihatsu Charade Social,1148000,4,5,4085,1620,1385,2395,910,74,1498,760,826,45,1997,Subcompact
617,Daihatsu,Daihatsu COO,1617000,5,5,3800,1690,1635,2540,1070,80,1495,720,918,40,2006,Subcompact
618,Daihatsu,Daihatsu Copen,1572900,2,2,3395,1475,1245,2230,840,47,659,610,564,40,2007,mini
619,Daihatsu,Daihatsu Charade DE Tomaso,1398000,3,5,3760,1650,1420,2395,920,92,1589,760,876,45,1997,Subcompact
620,Daihatsu,Daihatsu Charade,789000,3,5,3680,1615,1385,2340,740,40,993,760,730,37,1991,mini
621,Daihatsu,Daihatsu Charade,1064000,5,5,3680,1615,1385,2340,830,69,1295,760,714,40,1989,Subcompact
622,Daihatsu,Daihatsu COO,1500000,5,5,3800,1690,1635,2540,1060,68,1297,720,797,40,2011,Subcompact
623,Daihatsu,Daihatsu Copen,1658000,2,2,3395,1475,1245,2230,830,47,659,610,564,40,2003,mini
624,Daihatsu,Daihatsu Charade DE Tomaso,1393000,3,5,3760,1650,1420,2395,930,92,1589,760,876,45,1993,Subcompact
625,Daihatsu,Daihatsu Charade Social,1053000,4,5,4085,1620,1385,2395,880,74,1498,760,826,45,1998,Subcompact
626,Daihatsu,Daihatsu Charade Social,1228000,4,5,4085,1620,1410,2395,960,74,1498,760,826,40,1996,Subcompact
627,Daihatsu,Daihatsu Charade,1035000,5,5,3680,1615,1400,2340,870,69,1295,760,714,37,1989,Subcompact
628,Daihatsu,Daihatsu Boon,1407000,5,5,3630,1665,1550,2440,940,66,1297,720,797,40,2004,Subcompact
629,Daihatsu,Daihatsu Boon,1626480,5,5,3660,1665,1525,2490,960,51,996,710,839,38,2016,mini
630,Daihatsu,Daihatsu Boon,1207500,5,5,3600,1665,1535,2440,930,52,996,710,839,38,2008,mini
631,Daihatsu,Daihatsu BE GO,1816500,5,5,3995,1695,1705,2580,1180,80,1495,720,918,50,2008,Subcompact
632,Daihatsu,Daihatsu Boon,1113000,5,5,3595,1665,1550,2440,900,52,996,710,839,40,2006,mini
633,Daihatsu,Daihatsu Boon,1518480,5,5,3650,1665,1525,2490,960,51,996,710,839,38,2016,mini
634,Daihatsu,Daihatsu BE GO,1849000,5,5,4005,1695,1705,2580,1200,80,1495,720,918,50,2008,Subcompact
635,Daihatsu,Daihatsu Boon,1113000,5,5,3595,1665,1535,2440,930,66,1297,720,797,40,2004,Subcompact
636,Daihatsu,Daihatsu BE GO,1827000,5,5,3995,1695,1690,2580,1150,80,1495,720,918,50,2008,Subcompact
637,Daihatsu,Daihatsu BE GO,1773000,5,5,4005,1695,1705,2580,1190,80,1495,720,918,50,2012,Subcompact
638,Daihatsu,Daihatsu Boon,1495800,5,5,3660,1665,1525,2490,910,51,996,710,839,36,2016,mini
639,Daihatsu,Daihatsu BE GO,1660000,5,5,4005,1695,1690,2580,1160,80,1495,720,918,50,2008,Subcompact
640,Daihatsu,Daihatsu BE GO,1932000,5,5,3995,1695,1690,2580,1180,80,1495,720,918,50,2008,Subcompact
641,Daihatsu,Daihatsu Boon,1258200,5,5,3650,1665,1525,2490,910,51,996,710,839,36,2016,mini
642,Daihatsu,Daihatsu BE GO,1867000,5,5,4005,1695,1705,2580,1190,80,1495,720,918,50,2010,Subcompact
643,Daihatsu,Daihatsu Boon,1452600,5,5,3650,1665,1535,2440,970,51,996,710,839,38,2014,mini
644,Daihatsu,Daihatsu Boon,2047500,5,5,3630,1665,1550,2440,980,98,936,720,575,38,2006,mini
645,Daihatsu,Daihatsu Boon,1218000,5,5,3595,1665,1535,2440,930,66,1297,720,797,40,2005,Subcompact
646,Daihatsu,Daihatsu Boon,1144500,5,5,3600,1665,1550,2440,900,52,996,710,839,40,2006,mini
647,Daihatsu,Daihatsu BE GO,1924000,5,5,4005,1695,1690,2580,1160,80,1495,720,918,50,2013,Subcompact
648,Daihatsu,Daihatsu Boon,1447200,5,5,3650,1665,1525,2490,910,51,996,710,839,36,2016,mini
649,Daihatsu,Daihatsu Boon,1180000,5,5,3640,1665,1535,2440,910,51,996,710,839,40,2012,mini
650,Daihatsu,Daihatsu Boon,1729080,5,5,3680,1665,1525,2490,960,51,996,710,839,38,2018,mini
651,Daihatsu,Daihatsu BE GO,1596000,5,5,3995,1695,1690,2580,1150,80,1495,720,918,50,2008,Subcompact
652,Daihatsu,Daihatsu Boon,1837500,5,5,3630,1665,1535,2440,980,98,936,720,575,38,2006,mini
653,Daihatsu,Daihatsu BE GO,1596000,5,5,3995,1695,1690,2580,1150,80,1495,720,918,50,2006,Subcompact
654,Daihatsu,Daihatsu Boon,945000,5,5,3595,1665,1535,2440,900,52,996,710,839,40,2005,mini
655,Daihatsu,Daihatsu Boon,1239000,5,5,3595,1665,1535,2440,940,52,996,710,839,38,2005,mini
656,Daihatsu,Daihatsu BE GO,1894000,5,5,4005,1695,1690,2580,1160,80,1495,720,918,50,2010,Subcompact
657,Daihatsu,Daihatsu BE GO,1900500,5,5,3995,1695,1705,2580,1190,80,1495,720,918,50,2008,Subcompact
